Company,Executive,Title,Since,Education,Notes,Updated
Sbarro,James J. Greco,CEO and President,2012,"Georgetown University, University of Miami School of Law","Formerly with Le Duff America, Bruegger's, Fieldbrook Farms, and Natural Country Farms"
Scottrade,Rodger O. Riney,,,,
Seagate Technology,Steve Luczo,,,,
Siemens A.G.,Peter Löscher,President and CEO,2007,"Vienna University of Economics and Business Administration, Chinese University of Hong Kong, Harvard University, Michigan State University",Formerly with General Electric and Merck
Simon Property Group,David Simon,,,,
SingTel,Chua Sock Koong,,,,
Sirius Satellite Radio,Mel Karmazin,,,,
Sleep Country Canada,Stephen K. Gunn,,,,
SoftBank,Masayoshi Son,,,,
Solera Holdings,Tony Aquila,Chairman and CEO,2005,,
Southwest Airlines,Gary C. Kelly,,,,
Sonic Corporation,J. Clifford Hudson,Chairman and CEO,,,
Sony Corporation,Kazuo Hirai,President and CEO,2012,,
Sony Computer Entertainment,Andrew House,President and CEO,2011,,
Starbucks Coffee Company,Howard Schultz,,,,
Statoil,Helge Lund,,,,
Sun Hung Kai Properties Ltd.,Walter Kwok,,,,
Sun Microsystems,Jonathan I. Schwartz,,,,
Sun Pharmaceutical,Dilip Shanghvi,Founder and CEO,,,
SunTrust Banks Inc.,"James M. Wells, III",,,,
Supervalu Inc.,Jeff Noddle,,,,
Sulekha,Satya Prabhakar,,,,
Swedbank,Jan Lidén,,,,
Syntel Inc.,Bharat Desai,,,,
Target Corporation,Gregg Steinhafel,"Chairman, President, and CEO",2008,,
Tata Consultancy Services,Rajesh Gopinathan,,2016,"Indian Institute of Management, Ahmedabad",Replaced N Chandrasekaran,2016-01-18
Tata Steel,B Muthuraman,,,,
Telefónica,César Alierta,CEO and Chairman,2000,Columbia University,
Telmex,Carlos Slim Helú,,,,
Telstra,David Thodey,,,,
Temasek Holdings,Ho Ching,,,,
Tesco,Philip Clarke,,,,
Tim Hortons,Paul D. House,,,,
Time Warner,Jeffrey L. Bewkes,,,,
Tod's,Diego Della Valle,Managing Director,1970,University of Bologna,
"TJX Companies, Inc.",Carol Meyrowitz,,,,
Tracinda Corporation,"Kerkor ""Kirk"" Kerkorian",,,,
"The Siegel Group Nevada, Inc",Stephen Siegel,,,,
The Travelers Companies,Jay S. Fishman,,,,
Trump Organization,Donald Trump,,,,
Toyota,Hiroshi Okuda,,,,
Toys for Bob,Paul Reiche III,,,,
"Toys ""R"" Us",Gerald L. Storch,,,,
Tradeking,Donato A. Montanaro,,,,
"Turner Broadcasting System, Inc.",Philip I. Kent,,,,
Twitter,Jack Dorsey,CEO,,,
UAL Corporation,Glenn F. Tilton,,,,
UBS AG,Sergio Ermotti,,,,
U.S. Century Bank,Octavio Hernández,,,,
United Parcel Service,D. Scott Davis,,,,
UGI Corp.,Lon R. Greenberg,,,,
United States Steel Corp.,John P. Surma,,,,
Valeant Pharmaceuticals,J. Michael Pearson,Chairman and CEO,2008,"Duke University, Darden School of Business",
Valero Energy Corporation,William R. Klesse,,,,
Verizon Communications,Lowell McAdam,Chairman and CEO,2011,"Cornell University, University of San Diego",Former CEO of Verizon Wireless
Viacom,Philippe P. Dauman,,,,
Viking Range,"Fred Carl, Jr.",,,,
Vodafone,Vittorio Colao,,,,
Volkswagen,Matthias Müller,,,,
Vulcan Inc.,Paul Allen,,,,
The Walt Disney Company,Robert Iger,Chairman and CEO,,,
Walgreen Company,Gregory Wasson,,,,
Wal-Mart,Doug McMillon,,,,
Warner Bros.,Barry Meyer,,,,
Washington Mutual,Kerry Killinger,,,,
The Washington Post Company,Donald Graham,,,,
Wells Fargo,Timothy J. Sloan,"Chairman, President, and CEO",,,
Whole Foods Market,John Mackey,,,,
Williams-Sonoma,Laura J. Alber,"Director, President, and CEO[68]",2010,University of Pennsylvania,replaced W. Howard Lester
Windstream Corporation,Jeffery Gardner,,,,
Winn-Dixie,Peter Lynch,,,,
Wipro Technologies Limited,Abidali Neemuchwala,,,,
World Wrestling Entertainment,Vincent K. McMahon,"Founder, Chairman and CEO[69]","1980 Chairman
2009 CEO",East Carolina University,Chairman of the Executive Committee
Yahoo!,Marissa Mayer,CEO,2012,Stanford University,Former spokesperson at Google
YG Entertainment,Yang Hyun Suk,Founder and CEO,1996,,,2013-9-30
"Yum! Brands, Inc.",David C. Novak,Chairman and CEO,2001[70],University of Missouri,Formerly COO for Pepsi-Cola.,2013-9-30
